FECHA (YYMMDD);HORA (HHMM);;
100119;0200;10,65;
100119;0300;9,97499;
100119;0400;10,025;
100119;0500;10,45;
100119;0600;11,025;
100119;0700;11,85;
100119;0800;13,025;
100119;0900;14,025;
100119;1000;13,775;
100119;1100;14,575;
100119;1200;15,875;
100119;1300;15,6;
100119;1400;15,525;
100119;1500;15,675;
100119;1600;15,75;
100119;1700;15,2;
100119;1800;14,5;
100119;1900;14,125;
100119;2000;14;
100119;2100;13,625;
100119;2200;13,475;
100119;2300;13,575;
100120;0000;13,7;
100120;0100;13,775;
100120;0200;13,925;
100120;0300;14,075;
100120;0400;14,1;
100120;0500;14,025;
100120;0600;14,35;
100120;0700;15,55;
100120;0800;15,75;
100120;0900;16,4;
100120;1000;17,5;
100120;1100;16,475;
100120;1200;16,925;
100120;1300;16,975;
100120;1400;16,15;
100120;1500;17;
100120;1600;17,2;
100120;1700;17,875;
100120;1800;16,65;
100120;1900;15,85;
100120;2000;14,475;
100120;2100;12,925;
100120;2200;12,7;
100120;2300;11,85;
100121;0000;11,4;
100121;0100;11,2;
100121;0200;11;
100121;0300;10,975;
100121;0400;10,9;
100121;0500;10,3;
100121;0600;10,5;
100121;0700;11,55;
100121;0800;14,3;
100121;0900;15,9;
100121;1000;15,7;
100121;1100;16,95;
100121;1200;17,975;
100121;1300;19,15;
100121;1400;19,975;
100121;1500;20,325;
100121;1600;19,1;
100121;1700;18,425;
100121;1800;17,575;
100121;1900;15,95;
100121;2000;14,05;
100121;2100;12,975;
100121;2200;12,725;
100121;2300;12,4;
100122;0000;11,6;
100122;0100;11,175;
100122;0200;10,575;
100122;0300;10,425;
100122;0400;10,675;
100122;0500;10,475;
100122;0600;10,825;
100122;0700;11,95;
100122;0800;12,875;
100122;0900;13;
100122;1000;14,425;
100122;1100;15,65;
100122;1200;16,875;
100122;1300;17,025;
100122;1400;17,025;
100122;1500;16,35;
100122;1600;15,875;
100122;1700;15,375;
100122;1800;14,775;
100122;1900;14,175;
100122;2000;13,7;
100122;2100;13,575;
100122;2200;13,325;
100122;2300;13,25;
100123;0000;13,2;
100123;0100;13,075;
100123;0200;12,8;
100123;0300;12,925;
100123;0400;12,8;
100123;0500;12,65;
100123;0600;12,725;
100123;0700;12,85;
100123;0800;13,725;
100123;0900;14,9;
100123;1000;15,975;
100123;1100;17,525;
100123;1200;17,525;
100123;1300;17,075;
100123;1400;17,65;
100123;1500;16,95;
100123;1600;16,525;
100123;1700;16,7;
100123;1800;16,375;
100123;1900;15,875;
100123;2000;14,85;
100123;2100;14,925;
100123;2200;15,425;
100123;2300;14,85;
100124;0000;14,05;
100124;0100;12,95;
100124;0200;11,975;
100124;0300;11,25;
100124;0400;10,225;
100124;0500;9,97499;
100124;0600;10;
100124;0700;11,675;
100124;0800;12,6;
100124;0900;13,475;
100124;1000;14,35;
100124;1100;15,7;
100124;1200;16,875;
100124;1300;17,7;
100124;1400;18,125;
100124;1500;18,225;
100124;1600;18,15;
100124;1700;18,15;
100124;1800;18,25;
100124;1900;16,95;
100124;2000;14,075;
100124;2100;13,175;
100124;2200;12,35;
100124;2300;11,675;
100125;0000;11;
100125;0100;10,225;
100125;0200;10,125;
100125;0300;9,825;
100125;0400;10;
100125;0500;10,3;
100125;0600;11,125;
100125;0700;13,125;
100125;0800;14,525;
100125;0900;15,85;
100125;1000;16,9;
100125;1100;18,65;
100125;1200;20,825;
100125;1300;18,65;
100125;1400;18,375;
100125;1500;17,975;
100125;1600;18,025;
100125;1700;18,775;
100125;1800;19,05;
100125;1900;18,825;
100125;2000;18,175;
100125;2100;16,6;
100125;2200;16,4;
100125;2300;16,075;
100126;0000;15,525;
100126;0100;14,425;
100126;0200;14,625;
100126;0300;14,125;
100126;0400;13,175;
100126;0500;12,9;
100126;0600;12,95;
100126;0700;14,625;
100126;0800;15,725;
100126;0900;16,05;
100126;1000;16,475;
100126;1100;17,625;
100126;1200;18,45;
100126;1300;18,9;
100126;1400;19,425;
100126;1500;19,525;
100126;1600;18,825;
100126;1700;17,625;
100126;1800;16,75;
100126;1900;15;
100126;2000;13,35;
100126;2100;12,25;
100126;2200;11,7;
100126;2300;11,1;
100127;0000;10,35;
100127;0100;10,225;
100127;0200;9,825;
100127;0300;9,375;
100127;0400;8,67499;
100127;0500;9,14999;
100127;0600;9,17499;
100127;0700;10,875;
100127;0800;13,3;
100127;0900;13,2;
100127;1000;13,35;
100127;1100;14,15;
100127;1200;14,025;
100127;1300;12,525;
100127;1400;13,125;
100127;1500;13,275;
100127;1600;13,7;
100127;1700;13,775;
100127;1800;13,825;
100127;1900;13,625;
100127;2000;13,275;
100127;2100;13,65;
100127;2200;14,075;
100127;2300;14,325;
100128;0000;13,65;
100128;0100;13,05;
100128;0200;12,775;
100128;0300;12,4;
100128;0400;10,95;
100128;0500;10,425;
100128;0600;10,025;
100128;0700;9,59999;
100128;0800;9,97499;
100128;0900;10,325;
100128;1000;11,025;
100128;1100;11,775;
100128;1200;14,475;
100128;1300;16,275;
100128;1400;16,475;
100128;1500;14,35;
100128;1600;12;
100128;1700;10,35;
100128;1800;8,84999;
100128;1900;8,04999;
100128;2000;8,04999;
100128;2100;7,89999;
100128;2200;7,625;
100128;2300;7,575;
100129;0000;7,14999;
100129;0100;6,77499;
100129;0200;6,475;
100129;0300;5,77499;
100129;0400;5,375;
100129;0500;5,14999;
100129;0600;5,425;
100129;0700;6,1;
100129;0800;5,975;
100129;0900;8,5;
100129;1000;8,04999;
100129;1100;8,95;
100129;1200;8,17499;
100129;1300;10,575;
100129;1400;10,85;
100129;1500;10,175;
100129;1600;6,85;
100129;1700;6,975;
100129;1800;7,075;
100129;1900;5,925;
100129;2000;5,325;
100129;2100;4,85;
100129;2200;3,95;
100129;2300;4,05;
100130;0000;3,975;
100130;0100;3,95;
100130;0200;3,925;
100130;0300;3,75;
100130;0400;4;
100130;0500;3,675;
100130;0600;4,075;
100130;0700;5,39999;
100130;0800;7,39999;
100130;0900;8,84999;
100130;1000;9,825;
100130;1100;9,79999;
100130;1200;10,875;
100130;1300;11,35;
100130;1400;11,95;
100130;1500;12,65;
100130;1600;13,525;
100130;1700;12,9;
100130;1800;12,2;
100130;1900;11,425;
100130;2000;10,125;
100130;2100;9,45;
100130;2200;9,075;
100130;2300;8,47499;
100131;0000;7,85;
100131;0100;8,09999;
100131;0200;8,27499;
100131;0300;8,09999;
100131;0400;8,325;
100131;0500;8,2;
100131;0600;7,77499;
100131;0700;7,975;
100131;0800;9,5;
100131;0900;11,3;
100131;1000;12,55;
100131;1100;14,2;
100131;1200;14,325;
100131;1300;15,025;
100131;1400;15,025;
100131;1500;15,05;
100131;1600;14,725;
100131;1700;14,025;
100131;1800;14,95;
100131;1900;13,3;
100131;2000;11,225;
100131;2100;10,55;
100131;2200;9,875;
100131;2300;9,77499;
100201;0000;9,39999;
100201;0100;9,75;
100201;0200;9,04999;
100201;0300;9,075;
100201;0400;9,17499;
100201;0500;8,7;
100201;0600;8,325;
100201;0700;9,84999;
100201;0800;11,775;
100201;0900;12,125;
100201;1000;11,4;
100201;1100;11,4;
100201;1200;12,8;
100201;1300;15,525;
100201;1400;15,2;
100201;1500;13,55;
100201;1600;13,275;
100201;1700;11,75;
100201;1800;11,6;
100201;1900;10,1;
100201;2000;8,34999;
100201;2100;8,42499;
100201;2200;8,45;
100201;2300;7,325;
100202;0000;7,3;
100202;0100;6,55;
100202;0200;6,475;
100202;0300;6,725;
100202;0400;6,725;
100202;0500;6,77499;
100202;0600;7,25;
100202;0700;8,39999;
100202;0800;9,34999;
100202;0900;9,89999;
100202;1000;10,925;
100202;1100;12,3;
100202;1200;12,525;
100202;1300;11,05;
100202;1400;10,375;
100202;1500;9,375;
100202;1600;8,625;
100202;1700;8,29999;
100202;1800;8,22499;
100202;1900;8,2;
100202;2000;8,04999;
100202;2100;7,8;
100202;2200;7,6;
100202;2300;7,7;
100203;0000;6;
100203;0100;4,77499;
100203;0200;4,55;
100203;0300;4,7;
100203;0400;4,475;
100203;0500;4,325;
100203;0600;5,125;
100203;0700;5,75;
100203;0800;6,825;
100203;0900;7,975;
