FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140809;0000;32,5652;;;
140810;0000;22,4583;;;
140811;0000;41,875;;;
140812;0000;26,1667;;;
140813;0000;26,7083;;;
140814;0000;36,5;;;
140815;0000;64;;;
140816;0000;57,25;;;
140817;0000;41,6666;;;
140818;0000;49,5833;;;
140819;0000;86,5833;;;
140820;0000;120;;;
140821;0000;193,409;;;
140822;0000;267,542;;;
140823;0000;119,125;;;
140824;0000;152,111;;;
140825;0000;117,375;;;
140826;0000;184,083;;;
140827;0000;211,25;;;
140828;0000;121,375;;;
140829;0000;155,792;;;
140830;0000;128,5;;;
140831;0000;126,125;;;
140901;0000;201,542;;;
140902;0000;110,958;;;
140903;0000;155,5;;;
140904;0000;162,956;;;
140905;0000;198,417;;;
140906;0000;47,5;;;
140907;0000;51,125;;;
140908;0000;50,5833;;;
140909;0000;32,1666;;;
140910;0000;33,25;;;
140911;0000;26,9167;;;
140912;0000;20,5;;;
140913;0000;20,4583;;;
140914;0000;15,75;;;
140915;0000;16,125;;;
140916;0000;13,0417;;;
140917;0000;14,625;;;
140918;0000;25,75;;;
140919;0000;46,1666;;;
140920;0000;63,0416;;;
140921;0000;34,25;;;
140922;0000;29,0417;;;
140923;0000;28,4167;;;
140924;0000;31,4583;;;
140925;0000;39,2173;;;
140926;0000;60,6666;;;
140927;0000;45,7083;;;
140928;0000;25,8333;;;
140929;0000;56,0833;;;
140930;0000;78,3333;;;
141001;0000;111,417;;;
141002;0000;59;;;
141003;0000;51,875;;;
141004;0000;15;;;
141005;0000;13,4583;;;
141006;0000;20,625;;;
141007;0000;41,7916;;;
141008;0000;32,625;;;
141009;0000;25,4167;;;
141010;0000;16,2083;;;
141011;0000;14,5833;;;
141012;0000;13,7917;;;
141013;0000;15,625;;;
141014;0000;56,5416;;;
141015;0000;41,9583;;;
141016;0000;22,7083;;;
141017;0000;40;;;
141018;0000;36,5;;;
141019;0000;40,6111;;;
141020;0000;31,9583;;;
141021;0000;31,3333;;;
141022;0000;24,6667;;;
141023;0000;22,1739;;;
141024;0000;14,9583;;;
141025;0000;9,29166;;;
141026;0000;10,25;;;
141027;0000;12,9583;;;
141028;0000;20,0833;;;
141029;0000;28;;;
141030;0000;30,1304;;;
141031;0000;46,8208;;;
141101;0000;77,9565;;;
141102;0000;77,5094;;;
141103;0000;17,1335;;;
141104;0000;12,554;;;
141105;0000;18,8134;;;
141106;0000;35,1409;;;
141107;0000;15,7699;;;
141108;0000;7,87012;;;
141109;0000;9,20316;;;
141110;0000;8,02132;;;
141111;0000;10,2622;;;
141112;0000;10,4466;;;
141113;0000;7,61507;;;
141114;0000;8,41866;;;
141115;0000;11,1851;;;
141116;0000;6,94774;;;
141117;0000;11,045;;;
141118;0000;10,7828;;;
